input_file,reason,message
dataset_14/uvl/2010-04-01_15-09-44.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_14/uvl/2010-05-02_14-17-07.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 1:10 due to: token recognition error at: '_' (at 1:10)
failed to parse at line 3:1 due to: token recognition error at: '_' (at 3:1)"
dataset_15/uvl/linux-2.6.33.3.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_19/uvl/ovm_RFW.ovm.uvl,input_model_load_error,java.lang.NullPointerException
dataset_20/uvl/model_20110207_1623721536.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20151123_702303189.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20160226_1944186213.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20160519_1846923063.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20161118_228131771.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20170514_1578942718.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20190411_1457420991.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_20/uvl/model_20221031_379205114.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
"dataset_42/uvl/step3 Design the display to show the information simply, clearly and accurately (tables).uvl",input_model_load_error,java.util.EmptyStackException
dataset_48/uvl/linux-2.6.33.3.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_49/uvl/linux-2.6.33.3.uvl,unsatisfiable_feature_model,Feature model is unsatisfiable and cannot be simplified
dataset_53/uvl/GitHubProject.uvl,unsupported_feature_types,"Boolean features are required; unsupported features: Community Standards (Integer), Dependencies (Integer), Dependents (Integer), Number of Labels (Integer), Number of Forks (Integer), Number of Watchers (Integer), Number of Stars (Integer), Number of Contributors (Integer), Programming Language (String), Number of Workflows (Integer)"
dataset_54/uvl/KubernetesFM.uvl,input_model_load_error,"java.lang.NumberFormatException: For input string: ""*"""
dataset_54/uvl/KubernetesFM_Boolean.uvl,input_model_load_error,java.lang.IllegalArgumentException: Cannot create attribute for type class java.lang.Long. Attribute already defined for type class java.lang.Boolean.
dataset_56/uvl/Akesson2019b_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/BerkeleyDB_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/GPL_excerpt_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/Horcas2022b_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/JHipster_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/MobileMedia_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/Oh2019_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/Pizzas_complex_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/Truck_gft.uvl,input_model_load_error,"Multiple Errors occurred during parsing!
failed to parse at line 13:5 due to mismatched input 'Type' expecting {'String', 'Boolean', 'Integer', 'Real', ID_NOT_STRICT, ID_STRICT} (at 13:5)
failed to parse at line 15:7 due to mismatched input '\t\t\t\t\t\t\t' expecting {<EOF>, 'constraints'} (at 15:7)"
dataset_56/uvl/WeaFQAs_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_56/uvl/axTLS_gft.uvl,input_model_load_error,java.util.EmptyStackException
dataset_57/uvl/Bausatz_2022_Burgers.uvl,input_model_load_error,"java.lang.NumberFormatException: For input string: ""*"""
dataset_57/uvl/Bausatz_2022_Desserts.uvl,input_model_load_error,de.featjar.feature.model.io.uvl.UVLConversionException: SumAggregateFunctionExpression is not supported.
dataset_57/uvl/Bausatz_2025_Burgers.uvl,input_model_load_error,Could not resolve import: D:\Uni\FeatJAR\all\Bausatz_2025_Ingredients.uvl (at 2:0)
dataset_57/uvl/Bausatz_2025_Desserts.uvl,input_model_load_error,de.featjar.feature.model.io.uvl.UVLConversionException: SumAggregateFunctionExpression is not supported.
dataset_57/uvl/Bausatz_2025_DrinkMix.uvl,input_model_load_error,java.util.EmptyStackException
dataset_57/uvl/Bausatz_2025_Pasta.uvl,input_model_load_error,Could not resolve import: D:\Uni\FeatJAR\all\Bausatz_2025_Ingredients.uvl (at 2:0)
dataset_57/uvl/Bausatz_2025_Pfandl.uvl,input_model_load_error,Could not resolve import: D:\Uni\FeatJAR\all\Bausatz_2025_Ingredients.uvl (at 2:0)
dataset_57/uvl/Bausatz_2025_Pizzas.uvl,input_model_load_error,Could not resolve import: D:\Uni\FeatJAR\all\Bausatz_2025_Ingredients.uvl (at 2:0)
