input_file,output_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio,removed_core_features,removed_dead_features,removed_atomic_set_features,full_reduction
dataset_20/uvl/model_20111130_1614470655.uvl,dataset_20/uvl/model_20111130_1614470655.uvl,77,49,0.363636,0,9,0,11,0,17,FALSE
dataset_20/uvl/model_20111201_1252018702.uvl,dataset_20/uvl/model_20111201_1252018702.uvl,61,59,0.032787,2,18,-8,1,0,1,FALSE
dataset_20/uvl/model_20111201_372659565.uvl,dataset_20/uvl/model_20111201_372659565.uvl,61,59,0.032787,0,16,0,1,0,1,FALSE
dataset_20/uvl/model_20111214_733452875.uvl,dataset_20/uvl/model_20111214_733452875.uvl,15,3,0.8,0,0,0,12,0,0,FALSE
dataset_20/uvl/model_20111220_1184087779.uvl,dataset_20/uvl/model_20111220_1184087779.uvl,15,12,0.2,1,16,-15,2,0,1,FALSE
dataset_20/uvl/model_20111220_1450733948.uvl,dataset_20/uvl/model_20111220_1450733948.uvl,41,34,0.170732,0,372,0,6,0,1,FALSE
dataset_20/uvl/model_20120109_1808102333.uvl,dataset_20/uvl/model_20120109_1808102333.uvl,18,7,0.611111,2,2,0,10,0,1,FALSE
dataset_20/uvl/model_20120110_1094246588.uvl,dataset_20/uvl/model_20120110_1094246588.uvl,10,8,0.2,2,7,-2.5,2,0,0,FALSE
dataset_20/uvl/model_20120110_1256867454.uvl,dataset_20/uvl/model_20120110_1256867454.uvl,10,8,0.2,2,7,-2.5,2,0,0,FALSE
dataset_20/uvl/model_20120110_139114401.uvl,dataset_20/uvl/model_20120110_139114401.uvl,10,8,0.2,2,7,-2.5,2,0,0,FALSE
dataset_20/uvl/model_20120110_1719396361.uvl,dataset_20/uvl/model_20120110_1719396361.uvl,10,8,0.2,2,7,-2.5,2,0,0,FALSE
dataset_20/uvl/model_20120110_1754443954.uvl,dataset_20/uvl/model_20120110_1754443954.uvl,10,8,0.2,1,6,-5,2,0,0,FALSE
dataset_20/uvl/model_20120110_855603964.uvl,dataset_20/uvl/model_20120110_855603964.uvl,10,8,0.2,2,7,-2.5,2,0,0,FALSE
dataset_20/uvl/model_20120111_1667229430.uvl,dataset_20/uvl/model_20120111_1667229430.uvl,24,15,0.375,2,2,0,5,0,4,FALSE
dataset_20/uvl/model_20120113_1803352101.uvl,dataset_20/uvl/model_20120113_1803352101.uvl,43,38,0.116279,2,17,-7.5,3,0,2,FALSE
dataset_20/uvl/model_20120113_1950870026.uvl,dataset_20/uvl/model_20120113_1950870026.uvl,10,6,0.4,1,2,-1,3,0,1,FALSE
dataset_20/uvl/model_20120122_258977494.uvl,dataset_20/uvl/model_20120122_258977494.uvl,19,14,0.263158,5,13,-1.6,5,0,0,FALSE
dataset_20/uvl/model_20120124_94644767.uvl,dataset_20/uvl/model_20120124_94644767.uvl,12,9,0.25,0,1,0,3,0,0,FALSE
dataset_20/uvl/model_20120130_333619036.uvl,dataset_20/uvl/model_20120130_333619036.uvl,31,29,0.064516,0,1,0,1,0,1,FALSE
