input_file,original_features,simplified_features,feature_reduction_ratio,original_constraints,simplified_constraints,constraint_reduction_ratio
dataset_20/uvl/model_20170517_1276361560.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20170517_1468714593.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20170517_1986241278.uvl,10,7,0.3,2,7,-2.5
dataset_20/uvl/model_20170527_1802227256.uvl,11,6,0.454545,3,0,1
dataset_20/uvl/model_20170706_1181552122.uvl,11,5,0.545455,2,6,-2
dataset_20/uvl/model_20170916_973590519.uvl,48,34,0.291667,14,55,-2.928571
dataset_20/uvl/model_20170918_1157652981.uvl,48,37,0.229167,4,52,-12
dataset_20/uvl/model_20170918_446567907.uvl,48,32,0.333333,11,46,-3.181818
dataset_20/uvl/model_20170919_1393589103.uvl,48,35,0.270833,20,48,-1.4
dataset_20/uvl/model_20170919_1425490791.uvl,47,36,0.234043,17,39,-1.294118
dataset_20/uvl/model_20170919_1946252337.uvl,48,36,0.25,6,66,-10
dataset_20/uvl/model_20170921_244476382.uvl,47,39,0.170213,10,55,-4.5
dataset_20/uvl/model_20170926_1539445221.uvl,14,9,0.357143,1,5,-4
dataset_20/uvl/model_20170930_228024571.uvl,62,45,0.274194,25,66,-1.64
dataset_20/uvl/model_20171207_1015871671.uvl,18,7,0.611111,16,0,1
dataset_20/uvl/model_20180122_1429516018.uvl,40,35,0.125,4,51,-11.75
dataset_20/uvl/model_20180214_1066016479.uvl,96,79,0.177083,17,58,-2.411765
dataset_20/uvl/model_20180227_1765307019.uvl,116,96,0.172414,16,86,-4.375
dataset_20/uvl/model_20180304_1150769979.uvl,48,37,0.229167,11,53,-3.818182
dataset_20/uvl/model_20180304_290046860.uvl,48,38,0.208333,3,46,-14.333333
dataset_20/uvl/model_20180305_1393570452.uvl,48,32,0.333333,18,49,-1.722222
dataset_20/uvl/model_20180305_1565538092.uvl,50,37,0.26,12,50,-3.166667
dataset_20/uvl/model_20180306_1110315637.uvl,39,29,0.25641,1,58,-57
dataset_20/uvl/model_20180306_1851656621.uvl,49,32,0.346939,13,45,-2.461538
dataset_20/uvl/model_20180306_422218475.uvl,53,36,0.320755,6,42,-6
dataset_20/uvl/model_20180306_73619671.uvl,48,39,0.1875,5,51,-9.2
dataset_20/uvl/model_20180306_832754487.uvl,49,37,0.244898,27,63,-1.333333
dataset_20/uvl/model_20180512_276218752.uvl,36,4,0.888889,2,0,1
dataset_20/uvl/model_20180512_419383167.uvl,36,4,0.888889,2,0,1
dataset_20/uvl/model_20180512_660942805.uvl,36,4,0.888889,2,0,1
dataset_20/uvl/model_20180512_733862721.uvl,23,17,0.26087,2,8,-3
dataset_20/uvl/model_20180512_810540422.uvl,23,17,0.26087,1,5,-4
dataset_20/uvl/model_20180512_893377341.uvl,24,18,0.25,2,13,-5.5
dataset_20/uvl/model_20180611_1112345807.uvl,10,4,0.6,3,0,1
dataset_20/uvl/model_20180611_1140870617.uvl,10,4,0.6,3,0,1
dataset_20/uvl/model_20180611_1800915628.uvl,10,4,0.6,3,0,1
dataset_20/uvl/model_20180611_848416665.uvl,10,4,0.6,3,0,1
dataset_20/uvl/model_20180613_78021145.uvl,15,5,0.666667,1,3,-2
dataset_20/uvl/model_20180911_126281571.uvl,10,8,0.2,2,7,-2.5
dataset_20/uvl/model_20181029_2093756359.uvl,18,8,0.555556,4,0,1
dataset_20/uvl/model_20181219_1343761699.uvl,20,16,0.2,6,38,-5.333333
dataset_20/uvl/model_20190219_265960660.uvl,178,139,0.219101,9,32,-2.555556
dataset_20/uvl/model_20190223_1275185141.uvl,10,9,0.1,1,12,-11
dataset_20/uvl/model_20190223_2023041805.uvl,19,16,0.157895,10,25,-1.5
dataset_20/uvl/model_20190328_829158427.uvl,14,10,0.285714,3,7,-1.333333
dataset_20/uvl/model_20190430_2137275351.uvl,37,16,0.567568,1,9,-8
dataset_20/uvl/model_20190502_1338968023.uvl,34,1,0.970588,5,0,1
dataset_20/uvl/model_20190730_1957937065.uvl,25,16,0.36,1,3,-2
dataset_20/uvl/model_20190805_1041162508.uvl,23,15,0.347826,1,0,1
dataset_20/uvl/model_20190920_579117949.uvl,13,3,0.769231,5,0,1
dataset_20/uvl/model_20190922_230985682.uvl,21,1,0.952381,11,0,1
dataset_20/uvl/model_20191012_1432325334.uvl,40,23,0.425,7,23,-2.285714
dataset_20/uvl/model_20200225_1125771038.uvl,43,31,0.27907,3,20,-5.666667
dataset_20/uvl/model_20200316_153170359.uvl,124,55,0.556452,7,113,-15.142857
dataset_20/uvl/model_20200425_1144751894.uvl,10,2,0.8,4,0,1
dataset_20/uvl/model_20200609_1715293706.uvl,12,10,0.166667,2,7,-2.5
dataset_20/uvl/model_20200621_929471783.uvl,11,9,0.181818,2,8,-3
dataset_20/uvl/model_20200810_1943380085.uvl,26,15,0.423077,1,10,-9
dataset_20/uvl/model_20200810_903664942.uvl,25,20,0.2,2,5,-1.5
dataset_20/uvl/model_20200901_1590540568.uvl,38,27,0.289474,4,22,-4.5
dataset_20/uvl/model_20200907_1296105910.uvl,35,27,0.228571,1,30,-29
dataset_20/uvl/model_20200919_469515687.uvl,20,9,0.55,1,6,-5
dataset_20/uvl/model_20221125_1235088379.uvl,25,17,0.32,1,8,-7
dataset_20/uvl/model_20221220_1576677705.uvl,14,8,0.428571,2,13,-5.5
dataset_20/uvl/model_20230505_1739075744.uvl,42,16,0.619048,3,9,-2
dataset_20/uvl/smart_home_fm.uvl,59,30,0.491525,3,0,1
dataset_42/uvl/step1 Determine the information you need to display.uvl,12,9,0.25,7,64,-8.142857
dataset_42/uvl/step2 Select the best means to display the information (tables).uvl,13,8,0.384615,2,9,-3.5
dataset_42/uvl/step4 Select the implementation for the visualization (graphs).uvl,14,6,0.571429,4,12,-2
dataset_42/uvl/step4 Select the implementation for the visualization (tables).uvl,14,6,0.571429,4,12,-2
dataset_45/uvl/SGPL.uvl,94,82,0.12766,19,73,-2.842105
dataset_46/uvl/miband3_planned.uvl,24,10,0.583333,1,5,-4
dataset_46/uvl/miband4_planned.uvl,31,16,0.483871,1,10,-9
dataset_46/uvl/miband4_realized.uvl,31,14,0.548387,8,19,-1.375
dataset_46/uvl/miband5_planned.uvl,34,19,0.441176,1,10,-9
dataset_46/uvl/miband6_planned.uvl,35,20,0.428571,1,10,-9
dataset_46/uvl/miband7_planned.uvl,36,21,0.416667,1,14,-13
dataset_46/uvl/miband8_planned.uvl,37,22,0.405405,1,19,-18
dataset_48/uvl/REAL-FM-4.uvl,291,213,0.268041,21,59,-1.809524
dataset_49/uvl/REAL-FM-4.uvl,291,213,0.268041,21,59,-1.809524
dataset_50/uvl/SGPL.uvl,94,82,0.12766,19,73,-2.842105
dataset_52/uvl/CDI.uvl,43,26,0.395349,7,24,-2.428571
dataset_57/uvl/Fuengirola_Pizzas.uvl,32,29,0.09375,2,51,-24.5
dataset_7/uvl/2017-11-20.uvl,711,600,0.156118,1148,3084,-1.686411
dataset_7/uvl/2017-12-22.uvl,716,602,0.159218,1148,3310,-1.883275
dataset_7/uvl/2018-01-23.uvl,712,590,0.171348,1028,3555,-2.458171
dataset_7/uvl/2018-02-20.uvl,759,637,0.160738,1034,3987,-2.855899
dataset_7/uvl/2018-03-26.uvl,771,631,0.181582,1080,3685,-2.412037
dataset_72/uvl/An_Instrument_for_Measuring Variability_Thinking.uvl,16,13,0.1875,2,9,-3.5
dataset_78/uvl/FitApp.uvl,23,21,0.086957,6,16,-1.666667
dataset_78/uvl/FitnessApp.uvl,56,35,0.375,8,24,-2
dataset_78/uvl/MonumentosZaragoza.uvl,34,18,0.470588,1,4,-3
dataset_78/uvl/SdaWorld.uvl,16,6,0.625,1,0,1
dataset_79/uvl/FinTrack.uvl,37,12,0.675676,2,6,-2
dataset_89/uvl/demo_spl.uvl,3,2,0.333333,1,0,1
dataset_90/uvl/demo_spl.uvl,3,2,0.333333,1,0,1
dataset_91/uvl/demo_spl.uvl,3,2,0.333333,1,0,1
dataset_92/uvl/openwiki_spl.uvl,21,12,0.428571,11,2,0.818182
